files.file_name	datasets.title	files.data_modality	files.reference_genome	ollama_model	response_time
08_03_21_R941_HG04160_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	158.85
HG03098.paternal.hifi.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	123.11
HG02055.paternal.f1_assembly_v2.chm13_v1.0_plusY.Winnowmap.sorted.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	125.07
ZFP36L1-BGRSLV03-52_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	hg19	llama3.2	144.24
m84046_230627_204123_s2.fail_reads.bc2053.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	154.33
11_15_22_R1041_Duplex_HG002_7_Dorado_v0.1.1_400bps_sup_stereo_duplex_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	161.33
FUBP1-BG293LV06-100B_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	109.54
HG01952.maternal.ont.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	111.56
m64457e_220902_165459-bc2055.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	148.23
m64043_200711_235708.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	137.57
1_11_23_R941_HG00637_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	hg19	llama3.2	113.77
08_17_21_R941_HG02735_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	180.07
HG03579_aligned_CHM13v1Y_winnowmap.sorted.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	120.63
m64043_220503_153752_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	193.34
HG02080.CHM13.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	225.72
m64136_200602_153012.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	164.21
HG01243.paternal.f1_assembly_v2.chm13_v1.0_plusY.Winnowmap.sorted.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	104.72
ZC3H3-BGRSDLV03-46_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	unknown	llama3.2	224.52
HG01358.maternal.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	168.05
m64043_200516_230634.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	237.06
m54329U_220604_002013-bc2021.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	137.41
07_13_21_R941_HG02074_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	unknown	llama3.2	119.76
11_15_22_R1041_Duplex_HG002_3_Dorado_v0.1.1_400bps_sup_stereo_duplex_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	172.19
TRNAU1AP-BG293LV06-32B_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	transcriptomic	GRCh38	llama3.2	137.56
m84091_230804_170925_s2.fail_reads.unassigned.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	619.07
m64043_220708_205637-bc1015_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	200.12
m84046_230602_213334_s2.hifi_reads.bc1009.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	180.21
08_10_21_R941_HG01993_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	207.76
07_27_21_R941_HG01934_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	196.3
HG01109.f1_assembly_v2.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	158.61
m64136_210405_171231_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.61
m64043_191223_180311.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	175.64
m64043_200424_162541.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	112.27
NT-BGRSDTLV02-4doxtot_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	125.63
m64055e_220821_033925.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	605.73
04_11_23_R941_HG00735_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	176.33
HG02630.maternal.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	168.22
08_03_21_R941_HG02841_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	unknown	llama3.2	156.55
m84091_230905_202807_s3.fail_reads.bc1019.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	97.41
05_24_22_R941_GM19391_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	183.68
m64330e_220821_125227.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	124.17
08_17_21_R941_HG02451_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	161.75
HG03492.maternal.ont.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	256.96
TRIM55-BGRSDLV04-100dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	134.12
09_14_22_R941_HG01530_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	hg19	llama3.2	128.14
HG002_1_Dorado_R1041_ULCIR_400bps_sup.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	117.17
m64136_220717_152248-bc1018.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	123.4
08_10_21_R941_HG00642_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	123.56
m64136_201016_205143.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	1667.56
HG02559.paternal.hifi.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.74
HG_HG02723_Guppy_6.1.2_pass.bam	ANVIL_NIA_CARD_Coriell_Cell_Lines_Open	genomic	hg19	llama3.2	118.49
r64076_20220908_203534_B01.reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	133.8
m84081_231222_101332_s2.fail_reads.bc2027.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	116.64
m84046_230504_202347_s2.hifi_reads.bc2090.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	165.59
m64076_220826_143529-bc2049.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	108.53
HG01243.paternal.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	127.22
m84046_230624_201459_s3.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	119.09
RNF14-BGRSDLV03-33_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	hg19	llama3.2	182.37
03_14_23_R941_HG03540_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	131.38
CTCF-BGRSDLV02-24dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	215.79
m64334e_220429_152228_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	200.51
HG00438.diploid.f1_assembly_v2_genbank.hifi.winnowmap_v2.03.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	225.59
m64043_201203_004011.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	121.89
m84046_230517_211630_s4.fail_reads.bc2012.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	138.84
HG00673.maternal.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	218.69
r64076_20210628_230042_B01_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	144.49
m64043_200827_191459.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	122.5
m64136_220424_050632-bc1001.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	96.53
m84046_230623_213746_s2.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	161.93
08_03_21_R941_HG01960_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	hg19	llama3.2	205.43
m84046_230628_182559_s4.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	141.03
06_28_22_R941_HG00140_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	123.65
CNOT4-BGRSDLV03-6_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	116.99
m64043_191130_020028.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	230.37
HG01258_aligned_CHM13v1Y_winnowmap.sorted.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	176.66
HG00621.maternal.hifi.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	154.93
m64136_200710_174522.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	121.78
HG02622.paternal.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	155.83
08_17_21_R941_HG02735_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	199.37
HG02572.maternal.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	164.7
HG02622_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	217.1
NT-BGRSDLV02-2_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	181.34
m64330e_220512_181140_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	130.3
m64076_200201_051547.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	137.71
m84091_231208_201822_s1.hifi_reads.bc1021.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	113.42
NUFIP1-BGRSLV04-28_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	222.5
DZIP3-BGRSDLV04-14_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	119.76
m84046_230627_201017_s1.fail_reads.bc2052.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	85.75
07_27_21_R941_HG00597_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	177.81
HG01123.paternal.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	105.69
HG02572.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	135.34
07_13_21_R941_HG02132_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	101.48
HG01258.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	173.87
HG003vCHM13_20200921_wm_PBCCS.sort.bam	ANVIL_T2T	genomic	T2T-CHM13	llama3.2	100.01
04_12_22_R941_HG03225_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	219.95
11_15_22_R1041_Duplex_HG002_1_Dorado_v0.1.1_400bps_sup_stereo_duplex_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	163.07
HG03098.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	169.72
m84046_230721_182333_s4.fail_reads.bc2092.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	137.66
m54329U_201103_231616.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	190.25
HG01358.paternal.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	160.43
06_28_22_R941_HG02040_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	unknown	llama3.2	132.17
11_15_22_R1041_Duplex_HG002_6_Dorado_v0.1.1_400bps_sup_stereo_duplex.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	177.84
HG02080.paternal.hap2.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	202.22
HG00438.f1_assembly_v2_genbank.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	120.28
m84046_230724_200213_s3.hifi_reads.bc2094.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	166.26
06_28_22_R941_HG02165_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	160.8
m64136_210503_174237.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	191.52
HG03453_aligned_CHM13v1Y_winnowmap.sorted.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	208.6
HNRNPH2-BG293LV05-41_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	125.86
m84081_231119_015049_s1.hifi_reads.bc2083.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	203.45
04_12_22_R941_HG03225_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	1023.36
TEX13A-BGRSDLV04-91dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	113.39
1_3_23_R1041_Duplex_HG002_1_duplex_splitduplex_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	131.59
m84081_230630_190803_s1.hifi_reads.bc1002.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	1335.83
07_27_21_R941_HG03688_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	172.52
m84091_230817_143140_s2.hifi_reads.bc1008.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	106.46
09_27_2022_R941_GM20905_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	unknown	llama3.2	146.52
m54329U_200124_193652.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	217.8
r54329U_20220113_032931_D01_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	334.21
08_10_21_R941_HG02647_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	146.61
ZNF22-BGRSDLV04-56dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	284.57
HG03540.paternal.ont.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	86.83
r54329U_20220113_032931_B01_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	161.16
m84091_230905_205913_s4.fail_reads.unassigned.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	196.86
m64334e_220306_054934.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	90.33
m64136_220712_144943-bc1016.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	108.45
ZNF800-BGRSDLV04-87dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	137.6
HG01109.paternal.f1_assembly_v2.chm13_v1.0_plusY.Winnowmap.sorted.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	145.45
HG02145.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	148.47
11_15_22_R1041_Duplex_HG002_8_Dorado_v0.1.1_400bps_sup_stereo_duplex_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	129.94
m84091_230905_195701_s2.hifi_reads.bc1015.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	101.85
CPSF4L-BGRSDLV04-107dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	130.13
HG01358.maternal.hifi.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	147.15
m54306Ue_210817_152605.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	125.37
HG02717.paternal.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	172.9
HG02630.paternal.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	123.37
HG01106.f1_assembly_v2.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	244.74
RBM5-BG293LV06-50_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	224.72
12_7_22_R941_HG02486_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	145.53
08_10_22_R941_HG03792_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh37	llama3.2	222.15
m64136_211120_043838-bc1009.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	114.12
PCBP1-BG293LV06-68B_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	106.89
09_14_22_R941_HG00099_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	137.22
m64017_200801_011415.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	117.51
12_7_22_R941_HG02559_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	93.02
m84081_230624_203119_s1.hifi_reads.bc1016.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	124.38
m54329U_220905_144015-bc2055.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	151.84
TRIM55-BGRSDLV04-97_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	unknown	llama3.2	147.81
HG01258.f1_assembly_v2_genbank.hap2.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	112.14
08_10_21_R941_HG04204_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	192.63
04_12_22_R941_HG03195_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	140.67
G2E3-BGRSDLV02-26_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	214.75
TRIP4-BGRSLV02-47_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	118.29
m84091_231120_193041_s3.hifi_reads.unassigned.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	110.12
m54306Ue_210729_003128.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	151.28
HG01106.maternal.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	198.79
m84091_230905_205913_s4.hifi_reads.unassigned.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	187.0
08_10_21_R941_HG04228_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	87.55
PAN3-BGRSLV04-29_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	140.03
r64076_20220831_190523_B01_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	197.15
HG01928_aligned_GRCh38_winnowmap.sorted.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	101.59
HG02559.f1_assembly_v2.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	156.0
HG01071.paternal.hap2.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	144.93
11_15_22_R1041_Duplex_HG002_2_duplex_splitduplex_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	224.8
m84091_230705_184508_s4.fail_reads.unassigned.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	134.07
HG02886_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	unknown	llama3.2	133.75
m84081_230721_185800_s3.fail_reads.bc2024.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	110.02
m84046_230628_210130_s1.fail_reads.bc2063.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	199.69
08_17_21_R941_HG01884_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	unknown	llama3.2	104.73
ZDHHC5-BGRSLV05-59_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	194.36
m64043_210905_032603_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	106.57
03_01_22_R941_HG01969_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	144.78
HG01928_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	181.7
11_15_22_R1041_Duplex_HG002_12_Dorado_v0.1.1_400bps_sup.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	144.53
11_15_22_R1041_Duplex_HG002_3_duplex_splitduplex_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	228.44
m84046_230508_193709_s3.hifi_reads.bc2090.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	146.09
ARIH1-BGRSLV07-5_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	unknown	llama3.2	169.24
12_08_21_R941_HG00423_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	1042.85
m84081_230623_212309_s3.hifi_reads.bc1016.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	188.37
m64136_211107_050725_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	191.78
m64043_200519_115622.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	169.08
m84081_231222_101332_s2.fail_reads.bc2021.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	91.14
NT-BGRSDLV04-3dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	hg19	llama3.2	134.93
m64076_210612_093800.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	152.57
HG01952_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	206.5
HG02109.f1_assembly_v2.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	155.2
m84046_230602_213334_s2.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	183.54
PML-BGRSLV04-37_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh37	llama3.2	144.13
HG02723vCHM13_20200921_wm_PBCCS.sort.bam	ANVIL_T2T	transcriptomic	T2T-CHM13	llama3.2	207.36
07_13_21_R941_HG00706_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	119.38
m84046_230727_225904_s1.fail_reads.bc2093.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	116.36
r64457e_20220831_194757_D01_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	114.3
m54329U_220907_100858-bc2053.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	139.47
m84081_231222_121301_s3.hifi_reads.bc2025.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	147.08
11_15_22_R1041_Duplex_HG002_6_duplex_splitduplex_fail.bam	ANVIL_HPRC	genomic	unknown	llama3.2	95.96
m84091_230705_184508_s4.fail_reads.bc1003.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	113.9
HG00438.f1_assembly_v2.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	150.78
m84046_230712_000908_s4.hifi_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	119.81
TRIM2-BGRSLV07-23_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	118.61
m84091_231208_194716_s4.hifi_reads.unassigned.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	144.16
m54329U_211215_225017-bc1009.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	103.6
HG00735.maternal.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	119.16
m64076_210529_081414.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	178.27
07_27_21_R941_HG01934_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	140.56
m84091_240110_201841_s2.fail_reads.bc1002.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	104.62
HG02486_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	122.35
r64076_20220831_190523_B01.reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	146.21
04_12_22_R941_HG02273_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	305.63
m84081_231029_030755_s4.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	102.0
m84046_230719_001055_s4.hifi_reads.bc2087.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	205.92
NT-BGRSDLV02-4dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	223.99
r54329U_20220825_172948_B01_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	118.68
m64076_210606_095247.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	119.2
03_01_22_R941_HG01940_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	144.66
07_13_21_R941_HG00706_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	135.75
m84046_230720_185410_s2.hifi_reads.bc2002.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	2.63
